Date,Group_24
1927-07,0.034577500000000004
1927-08,0.06372749999999999
1927-09,-0.037191249999999995
1927-10,0.09850375000000001
1927-11,0.11247625
1927-12,-0.0012137499999999991
1928-01,-0.029615000000000006
1928-02,0.15328875000000003
1928-03,0.1455775
1928-04,0.056026250000000014
1928-05,-0.0656
1928-06,0.012027500000000002
1928-07,0.1354675
1928-08,0.034425
1928-09,0.0014349999999999953
1928-10,0.13290125
1928-11,0.04602375
1928-12,0.09748625000000001
1929-01,-0.00017499999999999937
1929-02,0.013482499999999998
1929-03,0.05006125
1929-04,-0.06713375
1929-05,0.1649075
1929-06,0.052853750000000005
1929-07,0.087195
1929-08,-0.060935
1929-09,-0.26592625
1929-10,-0.16651500000000002
1929-11,0.06205000000000001
1929-12,0.044853750000000005
1930-01,0.0574925
1930-02,0.049319999999999996
1930-03,0.019525
1930-04,-0.0055287500000000015
1930-05,-0.11200750000000001
1930-06,0.024543750000000007
1930-07,0.014213749999999997
1930-08,-0.089005
1930-09,-0.08832000000000001
1930-10,-0.03225000000000001
1930-11,-0.05082000000000002
1930-12,0.05246125
1931-01,0.05724125000000001
1931-02,0.007153749999999997
1931-03,-0.0213975
1931-04,-0.0882525
1931-05,0.094045
1931-06,0.005865000000000002
1931-07,0.0039149999999999975
1931-08,-0.23936999999999997
1931-09,0.0844525
1931-10,-0.04040625
1931-11,-0.05321875000000001
1931-12,0.037626250000000014
1932-01,0.00014874999999999784
1932-02,-0.06092499999999999
1932-03,-0.11611750000000003
1932-04,-0.20716125000000007
1932-05,0.050805
1932-06,0.12282625
1932-07,0.16809874999999996
1932-08,-0.05264750000000001
1932-09,-0.0993275
1932-10,-0.09622125000000001
1932-11,0.058918750000000006
1932-12,-0.012058749999999998
1933-01,-0.15078875000000003
1933-02,0.09699000000000002
1933-03,0.3670150000000001
1933-04,0.35774
1933-05,0.14340999999999998
1933-06,-0.13790000000000002
1933-07,0.23063750000000002
1933-08,-0.12723
1933-09,-0.11462750000000001
1933-10,0.0844475
1933-11,0.051946250000000006
1933-12,0.09152375
1934-01,-0.005353749999999998
1934-02,-0.001735
1934-03,0.015202499999999999
1934-04,-0.10668625000000001
1934-05,-0.030634999999999992
1934-06,-0.10642750000000002
1934-07,0.026731250000000005
1934-08,0.02112875
1934-09,0.03176375
1934-10,0.08755625
1934-11,0.023046249999999997
1934-12,-0.0333375
1935-01,0.055514999999999995
1935-02,-0.040378750000000005
1935-03,0.038677500000000004
1935-04,-0.007112499999999999
1935-05,0.07625
1935-06,0.05506250000000001
1935-07,0.011255000000000001
1935-08,0.06809125
1935-09,0.0828725
1935-10,0.07089500000000001
1935-11,0.06446125000000001
1935-12,0.12245124999999998
1936-01,-0.029552500000000002
1936-02,0.001138750000000001
1936-03,-0.12500375
1936-04,0.0617125
1936-05,0.026145
1936-06,0.06714125
1936-07,0.01587875
1936-08,0.07963875000000001
1936-09,0.06791375000000001
1936-10,0.09477875000000001
1936-11,0.014311250000000001
1936-12,0.053308749999999995
1937-01,0.002336249999999998
1937-02,-0.03828250000000001
1937-03,-0.11961500000000003
1937-04,0.003340000000000001
1937-05,-0.07805250000000001
1937-06,0.1293175
1937-07,-0.04927625000000001
1937-08,-0.21620875
1937-09,-0.08971875
1937-10,-0.09166500000000001
1937-11,-0.06233875
1937-12,0.010415
1938-01,0.012222500000000004
1938-02,-0.16589374999999998
1938-03,0.14089875
1938-04,0.07524375
1938-05,0.06567
1938-06,0.04536375000000001
1938-07,-0.039193750000000006
1938-08,0.0064112499999999985
1938-09,0.07091875
1938-10,-0.009187499999999998
1938-11,0.06792875
1938-12,-0.1004125
1939-01,0.061175
1939-02,-0.21977874999999997
1939-03,0.014762499999999996
1939-04,0.1443825
1939-05,-0.03139125000000001
1939-06,0.19141625
1939-07,-0.053337499999999996
1939-08,0.04477250000000002
1939-09,0.09089249999999999
1939-10,-0.09536750000000001
1939-11,0.022105
1939-12,0.006906250000000002
1940-01,0.02219375
1940-02,0.014721250000000002
1940-03,0.0209925
1940-04,-0.25244374999999997
1940-05,0.055715000000000015
1940-06,0.03408125000000001
1940-07,0.0492625
1940-08,0.027936249999999996
1940-09,0.05139250000000001
1940-10,-0.0483925
1940-11,0.012763749999999999
1940-12,-0.0572425
1941-01,-0.03627124999999999
1941-02,0.06533
1941-03,-0.09150999999999998
1941-04,0.0299725
1941-05,0.09814374999999999
1941-06,0.10075374999999999
1941-07,0.03663250000000001
1941-08,-0.028797500000000004
1941-09,-0.01783625
1941-10,0.02119625
1941-11,-0.037186250000000004
1941-12,-0.011577500000000004
1942-01,-0.048655000000000004
1942-02,-0.02490625
1942-03,-0.06671125000000001
1942-04,0.023813749999999998
1942-05,0.024647500000000003
1942-06,0.07006000000000001
1942-07,0.05636875
1942-08,0.030101250000000003
1942-09,0.08244749999999999
1942-10,0.008908750000000002
1942-11,0.08924499999999999
1942-12,0.08735
1943-01,0.08424875
1943-02,0.11882000000000001
1943-03,0.0731775
1943-04,0.11709875
1943-05,0.016543750000000003
1943-06,-0.11241875000000001
1943-07,0.017898749999999998
1943-08,0.029905
1943-09,0.02182125
1943-10,-0.09108374999999999
1943-11,0.12301125
1943-12,0.023655000000000002
1944-01,-0.03146625
1944-02,0.08619749999999998
1944-03,-0.037228750000000005
1944-04,0.08391125
1944-05,0.0831925
1944-06,-0.007643749999999998
1944-07,0.06982250000000001
1944-08,-0.006288750000000001
1944-09,-0.011171249999999999
1944-10,0.03794125
1944-11,0.09615624999999998
1944-12,0.042308750000000006
1945-01,0.07436625
1945-02,-0.08511250000000001
